sid,profile_field_collegename,province,board,status
1,Advance College of Engineering and Management,3,Nepal,Not Signed
2,Ama Dablam College,1,Foreign,Not Signed
3,Birgunj Institute of Technology,2,Nepal,Signed
4,Birgunj Public College,2,Nepal,Signed
5,Boston International College,3,Nepal,Not Signed
6,Brightland College,5,Nepal,Signed
7,Butwal Kalika Campus,5,Nepal,Signed
8,Butwal Multiple Campus,5,Nepal,Not Signed
9,College of Applied Business,3,Nepal,Not Signed
10,Cosmos College of Management and Technology ,3,Nepal,Not Signed
11,Crimson College of Technology,5,Nepal,Signed
12,Forbes College,3,Nepal,Signed
13,Gandaki College of Engineering and Science (GCES),4,Nepal,Signed
14,Herald College Kathmandu,3,Foreign,Signed
15,Hetauda City College,3,Nepal,Not Signed
16,Hetauda School of Management and Social Sciences,3,Nepal,Signed
17,Hillside College of Engineering,3,Nepal,Not Signed
18,Himalaya College of Engineering,3,Nepal,Not Signed
19,Indreni College,3,Nepal,Not Signed
20,Informatics College Pokhara,4,Foreign,Signed
21,Islington College,3,Foreign,Signed
22,ISMT (Kathmandu),3,Foreign,Not Signed
23,ISMT College,4,Foreign,Not Signed
24,K& K College,3,Nepal,Not Signed
25,Kantipur Engineering College,3,Nepal,Not Signed
26,Kathford International College of Engineering,3,Nepal,Signed
27,Kathmandu College of Management,3,Nepal,Not Signed
28,Kathmandu College of Technology ,3,Nepal,Signed
29,Kathmandu Model College (KMC),3,Nepal,Not Signed
30,Khwopa Engineering College,3,Nepal,Signed
31,Khwopa College of Engineering,3,Nepal,Signed
32,Kings College,3,Nepal,Not Signed
33,KIST College,3,Nepal,Signed
34,La Grandee International College,4,Nepal,Not Signed
35,Little Angles College of Management,3,Nepal,Not Signed
36,Lumbini Banijya Campus,5,Nepal,Signed
37,Lumbini Engineering College,5,Nepal,Signed
38,Madan Bhandari Memorial College,3,Nepal,Signed
39,Mahendra Morang Adarsh Multiple Campus,1,Nepal,Not Signed
40,Medhavi College,3,Nepal,Not Signed
41,Mount Annapurna College,4,Nepal,Signed
42,Nagarjuna College of IT,3,Nepal,Signed
43,National College (NIST),3,Nepal,Signed
44,National Infotech College,2,Nepal,Signed
45,Nepal College of Information Technology (NCIT),3,Nepal,Signed
46,Nepal Engineering College,3,Nepal,Not Signed
47,Nepalaya College,3,Nepal,Signed
48,Nepalgunj College,5,Nepal,Signed
49,Nepathya College,5,Nepal,Signed
50,Nobel College,3,Nepal,Not Signed
51,Orchid International College,3,Nepal,Not Signed
52,Oxford College of Engineering and Management,3,Nepal,Not Signed
53,Padmashree International College,3,Nepal,Signed
54,Phoenix College of Management,3,Nepal,Not Signed
55,Pokhara College of Management,4,Nepal,Not Signed
56,Presidency College of Management Sciences,3,Nepal,Signed
57,Sagarmatha Engineering College,3,Nepal,Not Signed
58,Samriddhi College,3,Nepal,Signed
59,Seed Financial Academy,3,Foreign,Signed
60,Texas College of Management and IT,3,Nepal,Signed
61,The British College,3,Foreign,Not Signed
62,Tinau Technical College,5,Nepal,Signed
63,Tribhuwan University (CSIT),3,Nepal,Signed
64,Uniglobe College,3,Nepal,Not Signed
65,United Technical College,3,Nepal,Signed
66,Virinchi College,3,Foreign,Signed
